composer,intervallic_entropy,melodic_entropy, average_nPVI, meter,date,rhythm_entropy
Bizet,2.56096,2.76596,45.4945,9/8,1855,1.68948
Bizet,2.71327,2.51908,31.25,3/4,1855,0.978016
Bizet,2.70969,2.66688,53.0326,2/4,1855,1.71178
Bizet,3.2211,2.90005,25.641,2/4,1855,0.353359
Bloch,3.10928,2.99908,56.5578,4/4,1923,2.20108
Bloch,2.70453,2.29885,62.4359,4/4,1923,1.80735
Bloch,2.23031,2.77869,14.0741,2/4,1923,0.590724
Bloch,2.94376,2.68042,26.0014,2/4,1923,1.75
Bloch,2.99139,2.72823,47.4074,2/4,1925,0.899568
Bach,3.08233,2.71521,14.0351,4/4,1723,0.970951
Bloch,2.16321,2.75506,88.5315,3/4,1925,2.21702
Bloch,1.92724,2.46338,28.3333,3/4,1925,1.09754
Bloch,2.3028,3.68642,14.7778,3/4,1925,0.818096
Bloch,2.70523,2.59412,75.3535,4/4,1925,2.03816
Bloch,2.64721,2.47327,82.3787,4/4,1925,1.97356
Bloch,2.70523,2.35021,61.4719,6/8 9/8,1925,1.26381
Bloch,2.16321,2.60481,50.1587,2/4 3/4,1925,2.07416
Bloch,2.11122,2.44641,45.6548,3/4 2/4,1925,1.9328
Bloch,2.32441,2.35164,36.1111,3/4 4/4,1925,1.61433
Bloch,3.20897,2.85182,33.3333,4/4,1925,0.816689
Bach,2.75708,2.92665,10.5263,4/4,1723,0.970951
Bloch,2.58952,2.46507,42.7535,2/4,1916,2.13394
Bloch,2.54979,2.58426,82.1112,2/4,1916,2.23892
Bloch,2.59707,2.94536,6.48148,3/4 4/4,1916,0.235193
Bloch,2.21702,2.21702,41.6667,6/8,1916,0.439497
Bloch,2.35455,2.14928,34,4/4,1916,1.27291
Bloch,2.33291,2.09227,51.1111,6/8,1916,1.97095
Bloch,2.08496,1.79248,48.7662,3/4,1916,1.57095
Bloch,2.28925,2.14647,51.0616,4/4,1916,1.95915
Bach,3.20337,2.82706,10.5263,12/8,1723,0.468996
Bloch,2.14926,2.20624,73.9744,2/4,1916,1.67674
Bloch,1.91612,2.02272,7.14408,2/4,1916,0.985228
Bloch,2.48855,2.33551,24.2424,4/4 2/4 4/4,1921,0.985228
Bloch,1.80624,1.83226,58.3333,3/2,1921,1.43552
Bloch,2.38548,1.76596,90.4383,12/8,1921,2.07291
Bloch,2.55504,2.18004,32.7792,4/4,1921,1.73815
Bloch,2.06737,2.01974,13.3333,2/4,1921,0
Bloch,2.82347,2.99917,67.7778,12/8,1915,1.58268
Bloch,2.85663,2.99536,65.6263,4/4,1915,1.76386
Bloch,2.02941,2.21885,115.152,3/4,1915,1.59167
Bach,2.71078,3.04411,31.1111,4/4,1723,0.988699
Bloch,2.73143,2.98832,52.8768,4/4 3/4,1915,2.1163
Bloch,2.61682,3.01715,41.1111,6/4 7/4 6/4 9/4,1915,0.80767
Bloch,2.60882,2.28167,22.3517,4/4,1915,1.59047
Bloch,2.6933,2.22026,31.8519,3/4,1920,0.979869
Bloch,2.10776,2.73576,108.301,3/4,1920,2.1163
Bloch,2.81947,2.60307,71.9577,4/4,1920,2.04854
Bloch,2.45659,3.19061,60.46,3/4,1919,2.81803
Bloch,2.81123,2.67079,28.8889,4/4 5/4 3/4 4/4,1919,1.18838
Bloch,1.7815,2.54644,91.8056,4/4,1919,1.65788
Bloch,2.43174,2.53302,71.6728,2/4,1919,1.84125
Bach,2.37302,2.41947,53.584,2/2,1774,2.02322
Bach,3.09003,2.86558,38.0952,4/4,1723,1.08631
Bloch,2.59967,2.79465,42.2222,2/4,1919,1.44882
Bloch,2.70523,2.70523,36.3636,3/4,1919,1.19818
Bloch,2.14573,2.49175,19.6078,2/4,1919,0.774243
Bloch,2.82996,2.59358,65.5664,2/4 3/4,1912,1.75022
Bloch,2.39355,2.45161,87.8571,3/4,1912,1.56832
Bloch,1.76016,1.87789,25.1323,3/4 2/4 3/4,1912,0.774243
Bloch,2.4949,2.26975,75.6261,3/4,1912,1.74274
Bloch,2.84027,2.45358,77.9798,2/4,1912,2.21258
Bloch,2.96381,2.58316,62.5397,2/4,1924,1.19417
Bloch,2.28679,2.48853,56.0714,2/4,1924,1.65774
